,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Config,LTAN,Eclipse_fraction,eff_fixed_side,eff_rotatable_side,eff_rotatable_back,eff_fixed_back,Angle_max_eff
0,0,0,0,7,2.0,6.0,0.2332657200811359,0.1269853605117839,0.3052083822507609,0.7280599604641511,0.7083244870761879,353.0
1,1,1,1,8,2.0,7.0,0.2794885979470158,0.1477648964497772,0.334150789704938,0.6705926535939206,0.6483531226988748,350.0
2,2,2,2,9,2.0,8.0,0.3378203946155265,0.1934754299007125,0.4018162761510757,0.5813093291632014,0.5524115659985246,342.0
3,3,3,3,10,2.0,9.0,0.3726719527936566,0.2423646307828438,0.4771484746478927,0.5018761989613086,0.4640564061828278,331.0
4,4,4,4,11,2.0,10.0,0.3917265965947507,0.2829290586167488,0.540146380179086,0.4299813801006877,0.3859270098839352,316.0
5,5,5,5,12,2.0,11.0,0.4013153850882046,0.3092704449202705,0.5811002888349593,0.3675914850335822,0.3325973412534435,292.0
6,6,6,6,0,2.0,12.0,0.404204314954822,0.3183734644678136,0.5953539984957253,0.3320290204692257,0.3183544928033736,270.0
7,7,7,7,1,2.0,13.0,0.4013153850882046,0.3092746736842138,0.5811791233866221,0.3678355447861999,0.3326016778092439,292.0
8,8,8,8,2,2.0,14.0,0.3917880631876575,0.2829328641610537,0.5399630730048867,0.4296629192336042,0.3859229644186969,316.0
9,9,9,9,3,2.0,15.0,0.3727334193865634,0.2423677786410238,0.4771113006407831,0.5017456882367334,0.4640325406444779,331.0
10,10,10,10,4,2.0,16.0,0.3378203946155265,0.1934777096413268,0.4020563913790457,0.5814168093301172,0.5524126680828437,342.0
11,11,11,11,5,2.0,17.0,0.279427131354109,0.1477661296374227,0.3341857768407174,0.6706078865187772,0.6484039640663404,350.0
12,12,12,12,6,2.0,18.0,0.2332657200811359,0.1269853605117839,0.3052083822507609,0.7280599604641511,0.7083244870761879,353.0
